Woonplaatsen;Gemeente
Aadorp;Almelo
Aagtekerke;Veere
Aalden;Coevorden
Aalsmeer;Aalsmeer
Aalsmeerderbrug;Haarlemmermeer
Aalst;Zaltbommel
Aalsum;Noardeast-Fryslân
Aalten;Aalten
Ter Aar;Nieuwkoop
Ter Aard;Assen
Aardenburg;Sluis
Aarlanderveen;AlphenaandenRijn
Aarle-Rixtel;Laarbeek
Aartswoud;Opmeer
Abbega;Súdwest-Fryslân
Abbekerk;Medemblik
Abbenbroek;Nissewaard
Abbenes;Haarlemmermeer
Abcoude;DeRondeVenen
Achlum;Waadhoeke
Achterveld;Barneveld
Achterveld;Leusden
Achthuizen;Goeree-Overflakkee
Achtmaal;Zundert
Acquoy;WestBetuwe
Adorp;HetHogeland
Aduard;Westerkwartier
Aerdenhout;Bloemendaal
Aerdt;Zevenaar
Afferden;Druten
Afferden L;Bergen(L.)
Agelo;Dinkelland
Akersloot;Castricum
Akkrum;Heerenveen
Akmarijp;DeFryskeMarren
Albergen;Tubbergen
Alblasserdam;Alblasserdam
Alde Leie;Leeuwarden
Aldeboarn;Heerenveen
Aldtsjerk;Tytsjerksteradiel
Alem;Maasdriel
Alkmaar;Alkmaar
Allingawier;Súdwest-Fryslân
Almelo;Almelo
Almen;Lochem
Almere;Almere
Almkerk;Altena
Alphen;WestMaasenWaal
Alphen;Alphen-Chaam
Alphen aan den Rijn;AlphenaandenRijn
Alteveer;Noordenveld
Alteveer;Stadskanaal
Alteveer;DeWolden
Alteveer gem Hoogeveen;Hoogeveen
Altforst;WestMaasenWaal
Ambt Delden;HofvanTwente
Ameide;Vijfheerenlanden
Amen;AaenHunze
America;HorstaandeMaas
Amerongen;UtrechtseHeuvelrug
Amersfoort;Amersfoort
Ammerstol;Krimpenerwaard
Ammerzoden;Maasdriel
Amstelhoek;DeRondeVenen
Amstelveen;Amstelveen
Amstenrade;Beekdaelen
Amsterdam;Amsterdam
Amsterdam-Duivendrecht;Ouder-Amstel
Andel;Altena
Den Andel;HetHogeland
Andelst;Overbetuwe
Anderen;AaenHunze
Andijk;Medemblik
Ane;Hardenberg
Anerveen;Hardenberg
Anevelde;Hardenberg
Angeren;Lingewaard
Angerlo;Zevenaar
Anjum;Noardeast-Fryslân
Ankeveen;Wijdemeren
Anloo;AaenHunze
Anna Paulowna;HollandsKroon
Annen;AaenHunze
Annerveenschekanaal;AaenHunze
Ansen;Westerveld
Ansen;DeWolden
Ter Apel;Westerwolde
Apeldoorn;Apeldoorn
Ter Apelkanaal;Westerwolde
Appelscha;Ooststellingwerf
Appeltern;WestMaasenWaal
Appingedam;Appingedam
Arcen;Venlo
Arkel;Molenlanden
Arnemuiden;Middelburg
Arnhem;Arnhem
Arriën;Ommen
Arum;Súdwest-Fryslân
Asch;Buren
Asperen;WestBetuwe
Assen;Assen
Assendelft;Zaanstad
Asten;Asten
Augsbuurt;Noardeast-Fryslân
Augustinusga;Achtkarspelen
Austerlitz;Zeist
Avenhorn;Koggenland
Axel;Terneuzen
Azewijn;Montferland
Baaiduinen;Terschelling
Baaium;Waadhoeke
Baak;Bronckhorst
Baambrugge;DeRondeVenen
Baard;Leeuwarden
Baarland;Borsele
Baarle-Nassau;Baarle-Nassau
Baarlo;PeelenMaas
Baarlo;Steenwijkerland
Baarn;Baarn
Baars;Steenwijkerland
Babberich;Zevenaar
Babyloniënbroek;Altena
Bad Nieuweschans;Oldambt
Badhoevedorp;Haarlemmermeer
Baexem;Leudal
Baflo;HetHogeland
Bakel;Gemert-Bakel
Bakhuizen;DeFryskeMarren
Bakkeveen;Opsterland
Balgoij;Wijchen
Balinge;Midden-Drenthe
Balk;DeFryskeMarren
Balkbrug;Hardenberg
Balloërveld;AaenHunze
Balloo;AaenHunze
Ballum;Ameland
Baneheide;Simpelveld
Banholt;Eijsden-Margraten
Bant;Noordoostpolder
Bantega;DeFryskeMarren
Barchem;Lochem
Barendrecht;Barendrecht
Barger-Compascuum;Emmen
Barneveld;Barneveld
Barsingerhorn;HollandsKroon
Basse;Steenwijkerland
Batenburg;Wijchen
Bathmen;Deventer
Bavel;Breda
Bavel AC;Alphen-Chaam
Bears;Leeuwarden
Bedum;HetHogeland
Beegden;Maasgouw
Beek;Montferland
Beek;Beek
Beek;BergenDal
Beek en Donk;Laarbeek
Beekbergen;Apeldoorn
Beemte Broekland;Apeldoorn
Beers NB;Cuijk
Beerta;Oldambt
Beerze;Ommen
Beerzerveld;Ommen
Beesd;WestBetuwe
Beesel;Beesel
Beets;Edam-Volendam
Beetsterzwaag;Opsterland
Beilen;Midden-Drenthe
Beinsdorp;Haarlemmermeer
Belfeld;Venlo
Bellingwolde;Westerwolde
Beltrum;Berkelland
Belt-Schutsloot;Steenwijkerland
Bemelen;Eijsden-Margraten
Bemmel;Lingewaard
Beneden-Leeuwen;WestMaasenWaal
Bennebroek;Bloemendaal
Bennekom;Ede
Benneveld;Coevorden
Benningbroek;Medemblik
Benschop;Lopik
Bentelo;HofvanTwente
Benthuizen;AlphenaandenRijn
Bentveld;Zandvoort
Berg en Dal;BergenDal
Berg en Terblijt;ValkenburgaandeGeul
Bergambacht;Krimpenerwaard
Bergeijk;Bergeijk
Bergen (NH);Bergen(NH.)
Bergen aan Zee;Bergen(NH.)
Bergen L;Bergen(L.)
Bergen op Zoom;BergenopZoom
Bergentheim;Hardenberg
Bergharen;Wijchen
Berghem;Oss
Bergschenhoek;Lansingerland
Beringe;PeelenMaas
Berkel en Rodenrijs;Lansingerland
Berkel-Enschot;Tilburg
Berkenwoude;Krimpenerwaard
Berkhout;Koggenland
Berlicum;Sint-Michielsgestel
Berltsum;Waadhoeke
Bern;Zaltbommel
Best;Best
Beugen;Boxmeer
Beuningen;Losser
Beuningen Gld;Beuningen
Beusichem;Buren
Beutenaken;Gulpen-Wittem
Beverwijk;Beverwijk
Biddinghuizen;Dronten
Bierum;Delfzijl
Biervliet;Sluis
Biervliet;Terneuzen
Biest-Houtakker;Hilvarenbeek
Biezenmortel;Haaren
Biggekerke;Veere
De Bilt;DeBilt
Bilthoven;DeBilt
Bingelrade;Beekdaelen
Bitgum;Waadhoeke
Bitgummole;Waadhoeke
Bladel;Bladel
Blankenham;Steenwijkerland
Blaricum;Blaricum
Blauwestad;Oldambt
Blauwhuis;Súdwest-Fryslân
Bleiswijk;Lansingerland
Blesdijke;Weststellingwerf
Bleskensgraaf ca;Molenlanden
De Blesse;Weststellingwerf
Blessum;Waadhoeke
Blije;Noardeast-Fryslân
Blijham;Westerwolde
Blitterswijck;Venray
Bloemendaal;Bloemendaal
Blokker;Hoorn
Blokzijl;Steenwijkerland
Boazum;Súdwest-Fryslân
Bocholtz;Simpelveld
Bodegraven;Bodegraven-Reeuwijk
Boekel;Boekel
Boelenslaan;Achtkarspelen
Boer;Waadhoeke
Ten Boer;Groningen
Boerakker;Westerkwartier
Boesingheliede;Haarlemmermeer
Boijl;Weststellingwerf
Boksum;Waadhoeke
Bolsward;Súdwest-Fryslân
Den Bommel;Goeree-Overflakkee
Bontebok;Heerenveen
Boornbergum;Smallingerland
Boornzwaag;DeFryskeMarren
Borculo;Berkelland
Borger;Borger-Odoorn
Borgercompagnie;Midden-Groningen
Borgercompagnie;Veendam
Borgsweer;Delfzijl
Born;Sittard-Geleen
Borne;Borne
Bornerbroek;Almelo
Bornwird;Noardeast-Fryslân
Borssele;Borsele
Bosch en Duin;Zeist
Boschoord;Westerveld
Boskoop;AlphenaandenRijn
Bosschenhoofd;Halderberge
Botlek Rotterdam;Rotterdam
Bourtange;Westerwolde
Bovenkarspel;StedeBroec
Boven-Leeuwen;WestMaasenWaal
Bovensmilde;Midden-Drenthe
Boxmeer;Boxmeer
Boxtel;Boxtel
Braamt;Montferland
Brakel;Zaltbommel
Brandwijk;Molenlanden
Brantgum;Noardeast-Fryslân
Breda;Breda
Bredevoort;Aalten
Breedenbroek;OudeIJsselstreek
Breezand;HollandsKroon
Breezanddijk;Súdwest-Fryslân
Breskens;Sluis
Breukelen;StichtseVecht
Breukeleveen;Wijdemeren
Brielle;Brielle
Briltil;Westerkwartier
Britsum;Leeuwarden
Britswert;Súdwest-Fryslân
Broek;DeFryskeMarren
Broek in Waterland;Waterland
Broek op Langedijk;Langedijk
Broekhuizen;HorstaandeMaas
Broekhuizen;Meppel
Broekhuizenvorst;HorstaandeMaas
Broekland;Raalte
Broeksterwâld;Dantumadiel
Bronkhorst;Bronckhorst
Bronneger;Borger-Odoorn
Bronnegerveen;Borger-Odoorn
Brouwershaven;Schouwen-Duiveland
Bruchem;Zaltbommel
Brucht;Hardenberg
Bruchterveld;Hardenberg
Bruinehaar;Twenterand
Bruinisse;Schouwen-Duiveland
Brummen;Brummen
Brunssum;Brunssum
Bruntinge;Midden-Drenthe
Buchten;Sittard-Geleen
Budel;Cranendonck
Budel-Dorplein;Cranendonck
Budel-Schoot;Cranendonck
Buggenum;Leudal
Buinen;Borger-Odoorn
Buinerveen;Borger-Odoorn
Buitenkaag;Haarlemmermeer
Buitenpost;Achtkarspelen
De Bult;Steenwijkerland
Bunde;Meerssen
Bunne;Tynaarlo
Bunnik;Bunnik
Bunschoten-Spakenburg;Bunschoten
Burdaard;Noardeast-Fryslân
Buren;Ameland
Buren;Buren
Den Burg;Texel
Burgerbrug;Schagen
Burgerveen;Haarlemmermeer
Burgh-Haamstede;Schouwen-Duiveland
Burgum;Tytsjerksteradiel
Burgwerd;Súdwest-Fryslân
Burum;Noardeast-Fryslân
Bussum;GooiseMeren
Buurmalsen;WestBetuwe
Buurmalsen;Buren
Cadier en Keer;Eijsden-Margraten
Cadzand;Sluis
Callantsoog;Schagen
Capelle aan den IJssel;CapelleaandenIJssel
Castelre;Baarle-Nassau
Castenray;Venray
Casteren;Bladel
Castricum;Castricum
Chaam;Alphen-Chaam
Clinge;Hulst
De Cocksdorp;Texel
Coevorden;Coevorden
Colijnsplaat;Noord-Beveland
Collendoorn;Hardenberg
Colmschate;Deventer
Cornwerd;Súdwest-Fryslân
Cothen;WijkbijDuurstede
Creil;Noordoostpolder
Cromvoirt;Vught
Cruquius;Haarlemmermeer
Cuijk;Cuijk
Culemborg;Culemborg
Daarle;Hellendoorn
Daarlerveen;Hellendoorn
Dalem;Gorinchem
Dalen;Coevorden
Dalerpeel;Coevorden
Dalerveen;Coevorden
Dalfsen;Dalfsen
Dalmsholte;Ommen
Damwâld;Dantumadiel
Darp;Westerveld
Dearsum;Súdwest-Fryslân
Dedemsvaart;Hardenberg
Dedgum;Súdwest-Fryslân
Deelen;Ede
Deest;Druten
Deil;WestBetuwe
Deinum;Waadhoeke
Delden;HofvanTwente
Delfgauw;Pijnacker-Nootdorp
Delfstrahuizen;DeFryskeMarren
Delft;Delft
Delfzijl;Delfzijl
Delwijnen;Zaltbommel
Demen;Oss
Denekamp;Dinkelland
Deurne;Deurne
Deurningen;Dinkelland
Deurningen;Oldenzaal
Deursen-Dennenburg;Oss
Deurze;AaenHunze
Deventer;Deventer
Didam;Montferland
Dieden;Oss
Diemen;Diemen
Diepenheim;HofvanTwente
Diepenveen;Deventer
Dieren;Rheden
Diessen;Hilvarenbeek
Diever;Westerveld
Dieverbrug;Westerveld
Diffelen;Hardenberg
Dijken;DeFryskeMarren
Dinteloord;Steenbergen
Dinxperlo;Aalten
Diphoorn;Coevorden
Dirkshorn;Schagen
Dirksland;Goeree-Overflakkee
Dodewaard;Neder-Betuwe
Doenrade;Beekdaelen
Doesburg;Doesburg
Doetinchem;Doetinchem
Doeveren;Heusden
Doezum;Westerkwartier
Dokkum;Noardeast-Fryslân
Den Dolder;Zeist
Doldersum;Westerveld
Domburg;Veere
Donderen;Tynaarlo
Dongen;Dongen
Dongjum;Waadhoeke
Doniaga;DeFryskeMarren
Donkerbroek;Ooststellingwerf
Doorn;UtrechtseHeuvelrug
Doornenburg;Lingewaard
Doornspijk;Elburg
Doorwerth;Renkum
Dordrecht;Dordrecht
Dorst;Oosterhout
Drachten;Smallingerland
Drachten-Azeven;Opsterland
Drachtstercompagnie;Smallingerland
Dreischor;Schouwen-Duiveland
Drempt;Bronckhorst
Dreumel;WestMaasenWaal
Driebergen-Rijsenburg;UtrechtseHeuvelrug
Drieborg;Oldambt
Driebruggen;Bodegraven-Reeuwijk
Driehuis NH;Velsen
Driehuizen;Alkmaar
Driel;Overbetuwe
Driewegen;Borsele
Driezum;Dantumadiel
Drijber;Midden-Drenthe
Drimmelen;Drimmelen
Drogeham;Achtkarspelen
Drogteropslagen;DeWolden
Drongelen;Altena
Dronryp;Waadhoeke
Dronten;Dronten
Drouwen;Borger-Odoorn
Drouwenermond;Borger-Odoorn
Drouwenerveen;Borger-Odoorn
Drunen;Heusden
Druten;Druten
Duiven;Duiven
Duivendrecht;Ouder-Amstel
Duizel;Eersel
Den Dungen;Sint-Michielsgestel
Dussen;Altena
Dwingeloo;Westerveld
Eagum;Leeuwarden
Earnewâld;Tytsjerksteradiel
Easterein;Súdwest-Fryslân
Easterlittens;Leeuwarden
Eastermar;Tytsjerksteradiel
Easterwierrum;Súdwest-Fryslân
Echt;Echt-Susteren
Echteld;Neder-Betuwe
Echten;DeWolden
Echten;DeFryskeMarren
Echtenerbrug;DeFryskeMarren
Eck en Wiel;Buren
Eckelrade;Eijsden-Margraten
Edam;Edam-Volendam
Ede;Ede
Ederveen;Ede
Ee;Noardeast-Fryslân
Eede;Sluis
Eefde;Lochem
Eelde;Tynaarlo
Eelderwolde;Tynaarlo
Eemdijk;Bunschoten
Eemnes;Eemnes
Eemshaven;HetHogeland
Een;Noordenveld
Eenrum;HetHogeland
Eenum;Loppersum
Een-West;Noordenveld
Eerbeek;Brummen
Eersel;Eersel
Ees;Borger-Odoorn
Eesergroen;Borger-Odoorn
Eeserveen;Borger-Odoorn
Eesterga;DeFryskeMarren
Eesveen;Steenwijkerland
Eethen;Altena
Eext;AaenHunze
Eexterveen;AaenHunze
Eexterveenschekanaal;AaenHunze
Eexterzandvoort;AaenHunze
Egchel;PeelenMaas
Egmond aan den Hoef;Bergen(NH.)
Egmond aan Zee;Bergen(NH.)
Egmond-Binnen;Bergen(NH.)
Eibergen;Berkelland
Eijsden;Eijsden-Margraten
Eindhoven;Eindhoven
Einighausen;Sittard-Geleen
Ekehaar;AaenHunze
Elahuizen;DeFryskeMarren
Elburg;Elburg
Eldersloo;AaenHunze
Eleveld;AaenHunze
Elim;Hoogeveen
Elkenrade;Gulpen-Wittem
Ell;Leudal
Ellecom;Rheden
Ellemeet;Schouwen-Duiveland
Ellertshaar;Borger-Odoorn
Ellewoutsdijk;Borsele
Elp;Midden-Drenthe
Elsendorp;Gemert-Bakel
Elshout;Heusden
Elsloo;Stein
Elsloo;Ooststellingwerf
Elspeet;Nunspeet
Elst;Overbetuwe
Elst Ut;Rhenen
Emmeloord;Noordoostpolder
Emmen;Emmen
Emmer-Compascuum;Emmen
Empe;Brummen
Emst;Epe
Engwierum;Noardeast-Fryslân
Enkhuizen;Enkhuizen
Ens;Noordoostpolder
Enschede;Enschede
Enspijk;WestBetuwe
Enter;Wierden
Enumatil;Westerkwartier
Epe;Epe
Epen;Gulpen-Wittem
Eppenhuizen;HetHogeland
Epse;Lochem
Erica;Emmen
Erichem;Buren
Erlecom;BergenDal
Erm;Coevorden
Ermelo;Ermelo
Erp;Meierijstad
Esbeek;Hilvarenbeek
Esch;Haaren
Escharen;Grave
Espel;Noordoostpolder
Est;WestBetuwe
Etten;OudeIJsselstreek
Etten-Leur;Etten-Leur
Europoort Rotterdam;Rotterdam
Eursinge;Midden-Drenthe
Eursinge;DeWolden
Everdingen;Vijfheerenlanden
Evertsoord;HorstaandeMaas
Ewijk;Beuningen
1e Exloërmond;Borger-Odoorn
2e Exloërmond;Borger-Odoorn
Exloërveen;Borger-Odoorn
Exloo;Borger-Odoorn
Exmorra;Súdwest-Fryslân
Eygelshoven;Kerkrade
Eys;Gulpen-Wittem
Ezinge;Westerkwartier
De Falom;Dantumadiel
Farmsum;Delfzijl
Feanwâlden;Dantumadiel
Feerwerd;Westerkwartier
Feinsum;Leeuwarden
Ferwert;Noardeast-Fryslân
Ferwoude;Súdwest-Fryslân
Fijnaart;Moerdijk
Finsterwolde;Oldambt
Firdgum;Waadhoeke
Fleringen;Tubbergen
Fluitenberg;Hoogeveen
Fochteloo;Ooststellingwerf
Follega;DeFryskeMarren
Folsgare;Súdwest-Fryslân
Formerum;Terschelling
Foudgum;Noardeast-Fryslân
Foxhol;Midden-Groningen
Foxwolde;Noordenveld
Franeker;Waadhoeke
Frederiksoord;Westerveld
Friens;Leeuwarden
Frieschepalen;Opsterland
Froombosch;Midden-Groningen
Gaanderen;Doetinchem
Gaast;Súdwest-Fryslân
Gaastmeer;Súdwest-Fryslân
Galder;Alphen-Chaam
Gameren;Zaltbommel
Gapinge;Veere
Garderen;Barneveld
Garmerwolde;Groningen
Garminge;Midden-Drenthe
Garnwerd;Westerkwartier
Garrelsweer;Loppersum
Garsthuizen;Loppersum
Garyp;Tytsjerksteradiel
Gassel;Grave
Gasselte;AaenHunze
Gasselternijveen;AaenHunze
Gasselternijveenschemond;AaenHunze
Gastel;Cranendonck
Gasteren;AaenHunze
Gauw;Súdwest-Fryslân
Geelbroek;AaenHunze
Geerdijk;Twenterand
Geersdijk;Noord-Beveland
Geertruidenberg;Geertruidenberg
Geervliet;Nissewaard
Gees;Coevorden
Geesbrug;Coevorden
Geesteren;Berkelland
Geesteren;Tubbergen
Geeuwenbrug;Westerveld
Geffen;Oss
Geijsteren;Venray
Geldermalsen;WestBetuwe
Gelderswoude;Zoeterwoude
Geldrop;Geldrop-Mierlo
Geleen;Sittard-Geleen
Gellicum;WestBetuwe
Gelselaar;Berkelland
Gemert;Gemert-Bakel
Gemonde;Sint-Michielsgestel
Genderen;Altena
Gendringen;OudeIJsselstreek
Gendt;Lingewaard
Genemuiden;Zwartewaterland
Gennep;Gennep
Gerkesklooster;Achtkarspelen
Gersloot;Heerenveen
Geulle;Meerssen
Giesbeek;Zevenaar
Giessen;Altena
Giessenburg;Molenlanden
Gieten;AaenHunze
Gieterveen;AaenHunze
Giethmen;Ommen
Giethoorn;Steenwijkerland
Gilze;GilzeenRijen
Ginnum;Noardeast-Fryslân
Glane;Losser
Glimmen;Groningen
De Glind;Barneveld
Godlinze;Delfzijl
Goedereede;Goeree-Overflakkee
Goënga;Súdwest-Fryslân
Goëngahuizen;Smallingerland
Goes;Goes
Goingarijp;DeFryskeMarren
Goirle;Goirle
Goor;HofvanTwente
De Goorn;Koggenland
Gorinchem;Gorinchem
Gorredijk;Opsterland
Gorssel;Lochem
Gouda;Gouda
Gouderak;Krimpenerwaard
Goudriaan;Molenlanden
Goudswaard;HoekscheWaard
Goutum;Leeuwarden
't Goy;Houten
Graauw;Hulst
Grafhorst;Kampen
Graft;Alkmaar
Gramsbergen;Hardenberg
Grashoek;PeelenMaas
Grathem;Leudal
Grave;Grave
's-Graveland;Wijdemeren
's-Gravendeel;HoekscheWaard
's-Gravenhage;'s-Gravenhage
's Gravenmoer;Dongen
's-Gravenpolder;Borsele
's-Gravenzande;Westland
Greonterp;Súdwest-Fryslân
Grevenbicht;Sittard-Geleen
Griendtsveen;HorstaandeMaas
Grijpskerk;Westerkwartier
Grijpskerke;Veere
Groede;Sluis
Groenekan;DeBilt
Groeningen;Boxmeer
Groenlo;OostGelre
Groesbeek;BergenDal
Groessen;Duiven
Groet;Bergen(NH.)
De Groeve;Tynaarlo
Grolloo;AaenHunze
Groningen;Groningen
Gronsveld;Eijsden-Margraten
Groot-Ammers;Molenlanden
Grootebroek;StedeBroec
Grootegast;Westerkwartier
Grootschermer;Alkmaar
Grou;Leeuwarden
Grubbenvorst;HorstaandeMaas
Gulpen;Gulpen-Wittem
Guttecoven;Sittard-Geleen
Gytsjerk;Tytsjerksteradiel
Haaften;WestBetuwe
Haaksbergen;Haaksbergen
Haalderen;Lingewaard
't Haantje;Coevorden
Haaren;Haaren
Haarle;Tubbergen
Haarle;Hellendoorn
Haarlem;Haarlem
Haarlemmerliede;Haarlemmermeer
Haarlo;Berkelland
Haarsteeg;Heusden
Haarzuilens;Utrecht
Haastrecht;Krimpenerwaard
Haelen;Leudal
Hagestein;Vijfheerenlanden
Haghorst;Hilvarenbeek
Haler;Leudal
Halfweg;Haarlemmermeer
Hall;Brummen
Halle;Bronckhorst
Hallum;Noardeast-Fryslân
Halsteren;BergenopZoom
Den Ham;Twenterand
Den Ham;Westerkwartier
Handel;Gemert-Bakel
Hank;Altena
Hansweert;Reimerswaal
Hantum;Noardeast-Fryslân
Hantumeruitburen;Noardeast-Fryslân
Hantumhuizen;Noardeast-Fryslân
Hapert;Bladel
Haps;Cuijk
Harbrinkhoek;Tubbergen
't Harde;Elburg
Hardenberg;Hardenberg
Harderwijk;Harderwijk
Hardinxveld-Giessendam;Hardinxveld-Giessendam
Haren;Oss
Haren Gn;Groningen
Harfsen;Lochem
Harich;DeFryskeMarren
Haringhuizen;HollandsKroon
Harkema;Achtkarspelen
Harkstede;Midden-Groningen
Harkstede GN;Groningen
Harlingen;Harlingen
Harmelen;Woerden
Harreveld;OostGelre
Harskamp;Ede
Hartwerd;Súdwest-Fryslân
Haskerdijken;Heerenveen
Haskerhorne;DeFryskeMarren
Hasselt;Zwartewaterland
Hattem;Hattem
Hattemerbroek;Oldebroek
Haule;Ooststellingwerf
Haulerwijk;Ooststellingwerf
Hauwert;Medemblik
Havelte;Westerveld
Havelterberg;Westerveld
Hazerswoude-Dorp;AlphenaandenRijn
Hazerswoude-Rijndijk;AlphenaandenRijn
Hedel;Maasdriel
Hedikhuizen;Heusden
Hee;Terschelling
Heeg;Súdwest-Fryslân
Heel;Maasgouw
Heelsum;Renkum
Heelweg;OudeIJsselstreek
Heemserveen;Hardenberg
Heemskerk;Heemskerk
Heemstede;Heemstede
De Heen;Steenbergen
Heenvliet;Nissewaard
's-Heer Abtskerke;Borsele
's-Heer Arendskerke;Goes
's-Heer Hendrikskinderen;Goes
Heerde;Heerde
's-Heerenberg;Montferland
's-Heerenbroek;Kampen
's-Heerenhoek;Borsele
Heerenveen;Heerenveen
Heerewaarden;Maasdriel
Heerhugowaard;Heerhugowaard
Heerjansdam;Zwijndrecht
Heerle;Roosendaal
Heerlen;Heerlen
Heesbeen;Heusden
Heesch;Bernheze
Heesselt;WestBetuwe
Heeswijk-Dinther;Bernheze
Heeten;Raalte
Heeze;Heeze-Leende
Hegebeintum;Noardeast-Fryslân
Hegelsom;HorstaandeMaas
Hei- en Boeicop;Vijfheerenlanden
Heibloem;Leudal
Heide;Venray
It Heidenskip;Súdwest-Fryslân
Ter Heijde;Westland
Heijen;Gennep
Heijenrath;Gulpen-Wittem
Heijningen;Moerdijk
Heikant;Hulst
Heilig Landstichting;BergenDal
Heiligerlee;Oldambt
Heiloo;Heiloo
Heinenoord;HoekscheWaard
Heinkenszand;Borsele
Heino;Raalte
Hekelingen;Nissewaard
Hekendorp;Oudewater
Helden;PeelenMaas
Den Helder;DenHelder
Helenaveen;Deurne
Hellendoorn;Hellendoorn
Hellevoetsluis;Hellevoetsluis
Hellouw;WestBetuwe
Hellum;Midden-Groningen
Helmond;Helmond
Helvoirt;Haaren
Hem;Drechterland
Hemelum;Súdwest-Fryslân
Hemmen;Overbetuwe
Hempens;Leeuwarden
Hemrik;Opsterland
Hendrik-Ido-Ambacht;Hendrik-Ido-Ambacht
Hengelo;Hengelo
Hengelo (Gld);Bronckhorst
Hengevelde;HofvanTwente
Hengstdijk;Hulst
Hensbroek;Koggenland
Herbaijum;Waadhoeke
Herkenbosch;Roerdalen
Herkingen;Goeree-Overflakkee
Hernen;Wijchen
Herpen;Oss
